API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Mar 17 19:04:30 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Nov-16 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460376.500000000, A.D. 2024-Mar-07 00:00:00.0000,  6.400487756204987E-01, -1.253896192900737E+00, -4.197771546725072E-02,
2460377.500000000, A.D. 2024-Mar-08 00:00:00.0000,  6.530061414580299E-01, -1.246267996474749E+00, -4.213567589633546E-02,
2460378.500000000, A.D. 2024-Mar-09 00:00:00.0000,  6.658942200118562E-01, -1.238507572129343E+00, -4.228916556316182E-02,
2460379.500000000, A.D. 2024-Mar-10 00:00:00.0000,  6.787115221852974E-01, -1.230615516915211E+00, -4.243816045940497E-02,
2460380.500000000, A.D. 2024-Mar-11 00:00:00.0000,  6.914565631248953E-01, -1.222592447295486E+00, -4.258263708785582E-02,
2460381.500000000, A.D. 2024-Mar-12 00:00:00.0000,  7.041278625250322E-01, -1.214438999148813E+00, -4.272257246995337E-02,
2460382.500000000, A.D. 2024-Mar-13 00:00:00.0000,  7.167239449344065E-01, -1.206155827767928E+00, -4.285794415354011E-02,
2460383.500000000, A.D. 2024-Mar-14 00:00:00.0000,  7.292433400630991E-01, -1.197743607852748E+00, -4.298873022028553E-02,
2460384.500000000, A.D. 2024-Mar-15 00:00:00.0000,  7.416845830900223E-01, -1.189203033496451E+00, -4.311490929263419E-02,
2460385.500000000, A.D. 2024-Mar-16 00:00:00.0000,  7.540462149716454E-01, -1.180534818164443E+00, -4.323646054073992E-02,
2460386.500000000, A.D. 2024-Mar-17 00:00:00.0000,  7.663267827522109E-01, -1.171739694667645E+00, -4.335336368964219E-02,
2460387.500000000, A.D. 2024-Mar-18 00:00:00.0000,  7.785248398741895E-01, -1.162818415131139E+00, -4.346559902626391E-02,
2460388.500000000, A.D. 2024-Mar-19 00:00:00.0000,  7.906389464880540E-01, -1.153771750957693E+00, -4.357314740580812E-02,
2460389.500000000, A.D. 2024-Mar-20 00:00:00.0000,  8.026676697621609E-01, -1.144600492784950E+00, -4.367599025786855E-02,
2460390.500000000, A.D. 2024-Mar-21 00:00:00.0000,  8.146095841941904E-01, -1.135305450436094E+00, -4.377410959290879E-02,
2460391.500000000, A.D. 2024-Mar-22 00:00:00.0000,  8.264632719241041E-01, -1.125887452865027E+00, -4.386748800917358E-02,
2460392.500000000, A.D. 2024-Mar-23 00:00:00.0000,  8.382273230471711E-01, -1.116347348096470E+00, -4.395610869943731E-02,
2460393.500000000, A.D. 2024-Mar-24 00:00:00.0000,  8.499003359261335E-01, -1.106686003159926E+00, -4.403995545712253E-02,
2460394.500000000, A.D. 2024-Mar-25 00:00:00.0000,  8.614809175030977E-01, -1.096904304016387E+00, -4.411901268200888E-02,
2460395.500000000, A.D. 2024-Mar-26 00:00:00.0000,  8.729676836121748E-01, -1.087003155478427E+00, -4.419326538609649E-02,
2460396.500000000, A.D. 2024-Mar-27 00:00:00.0000,  8.843592592927783E-01, -1.076983481125128E+00, -4.426269919977021E-02,
2460397.500000000, A.D. 2024-Mar-28 00:00:00.0000,  8.956542791024743E-01, -1.066846223211754E+00, -4.432730037785501E-02,
2460398.500000000, A.D. 2024-Mar-29 00:00:00.0000,  9.068513874286579E-01, -1.056592342572459E+00, -4.438705580519296E-02,
2460399.500000000, A.D. 2024-Mar-30 00:00:00.0000,  9.179492387995819E-01, -1.046222818515029E+00, -4.444195300197726E-02,
2460400.500000000, A.D. 2024-Mar-31 00:00:00.0000,  9.289464981953751E-01, -1.035738648708523E+00, -4.449198012927154E-02,
2460401.500000000, A.D. 2024-Apr-01 00:00:00.0000,  9.398418413582936E-01, -1.025140849065256E+00, -4.453712599455400E-02,
2460402.500000000, A.D. 2024-Apr-02 00:00:00.0000,  9.506339551006786E-01, -1.014430453617169E+00, -4.457738005670584E-02,
2460403.500000000, A.D. 2024-Apr-03 00:00:00.0000,  9.613215376104243E-01, -1.003608514385564E+00, -4.461273243034070E-02,
2460404.500000000, A.D. 2024-Apr-04 00:00:00.0000,  9.719032987552897E-01, -9.926761012435922E-01, -4.464317389012394E-02,
2460405.500000000, A.D. 2024-Apr-05 00:00:00.0000,  9.823779603867941E-01, -9.816343017721938E-01, -4.466869587552969E-02,
2460406.500000000, A.D. 2024-Apr-06 00:00:00.0000,  9.927442566425654E-01, -9.704842211104246E-01, -4.468929049566153E-02,
2460407.500000000, A.D. 2024-Apr-07 00:00:00.0000,  1.003000934245581E+00, -9.592269817998007E-01, -4.470495053347594E-02,
2460408.500000000, A.D. 2024-Apr-08 00:00:00.0000,  1.013146752800181E+00, -9.478637236214575E-01, -4.471566944932052E-02,
2460409.500000000, A.D. 2024-Apr-09 00:00:00.0000,  1.023180485085869E+00, -9.363956034260584E-01, -4.472144138430081E-02,
2460410.500000000, A.D. 2024-Apr-10 00:00:00.0000,  1.033100917349302E+00, -9.248237949579947E-01, -4.472226116383462E-02,
2460411.500000000, A.D. 2024-Apr-11 00:00:00.0000,  1.042906849593664E+00, -9.131494886749515E-01, -4.471812430118333E-02,
2460412.500000000, A.D. 2024-Apr-12 00:00:00.0000,  1.052597095864508E+00, -9.013738915618308E-01, -4.470902700055380E-02,
2460413.500000000, A.D. 2024-Apr-13 00:00:00.0000,  1.062170484532223E+00, -8.894982269374232E-01, -4.469496615977449E-02,
2460414.500000000, A.D. 2024-Apr-14 00:00:00.0000,  1.071625858571979E+00, -8.775237342539308E-01, -4.467593937298642E-02,
2460415.500000000, A.D. 2024-Apr-15 00:00:00.0000,  1.080962075841076E+00, -8.654516688908752E-01, -4.465194493348126E-02,
2460416.500000000, A.D. 2024-Apr-16 00:00:00.0000,  1.090178009352333E+00, -8.532833019442051E-01, -4.462298183620379E-02,
2460417.500000000, A.D. 2024-Apr-17 00:00:00.0000,  1.099272547542529E+00, -8.410199200098762E-01, -4.458904977948075E-02,
2460418.500000000, A.D. 2024-Apr-18 00:00:00.0000,  1.108244594536679E+00, -8.286628249610377E-01, -4.455014916631862E-02,
2460419.500000000, A.D. 2024-Apr-19 00:00:00.0000,  1.117093070409526E+00, -8.162133337191798E-01, -4.450628110599049E-02,
2460420.500000000, A.D. 2024-Apr-20 00:00:00.0000,  1.125816911444051E+00, -8.036727780202935E-01, -4.445744741595308E-02,
2460421.500000000, A.D. 2024-Apr-21 00:00:00.0000,  1.134415070385359E+00, -7.910425041762597E-01, -4.440365062342810E-02,
2460422.500000000, A.D. 2024-Apr-22 00:00:00.0000,  1.142886516689047E+00, -7.783238728304527E-01, -4.434489396621950E-02,
2460423.500000000, A.D. 2024-Apr-23 00:00:00.0000,  1.151230236764788E+00, -7.655182587068405E-01, -4.428118139308865E-02,
2460424.500000000, A.D. 2024-Apr-24 00:00:00.0000,  1.159445234215978E+00, -7.526270503535754E-01, -4.421251756419772E-02,
2460425.500000000, A.D. 2024-Apr-25 00:00:00.0000,  1.167530530075046E+00, -7.396516498827489E-01, -4.413890785160596E-02,
2460426.500000000, A.D. 2024-Apr-26 00:00:00.0000,  1.175485163033346E+00, -7.265934727064176E-01, -4.406035833942353E-02,
2460427.500000000, A.D. 2024-Apr-27 00:00:00.0000,  1.183308189665464E+00, -7.134539472673104E-01, -4.397687582346712E-02,
2460428.500000000, A.D. 2024-Apr-28 00:00:00.0000,  1.190998684648715E+00, -7.002345147633641E-01, -4.388846781075465E-02,
2460429.500000000, A.D. 2024-Apr-29 00:00:00.0000,  1.198555740978327E+00, -6.869366288672299E-01, -4.379514251916660E-02,
2460430.500000000, A.D. 2024-Apr-30 00:00:00.0000,  1.205978470177382E+00, -6.735617554421940E-01, -4.369690887702068E-02,
2460431.500000000, A.D. 2024-May-01 00:00:00.0000,  1.213266002500165E+00, -6.601113722544102E-01, -4.359377652197938E-02,
2460432.500000000, A.D. 2024-May-02 00:00:00.0000,  1.220417487128855E+00, -6.465869686804336E-01, -4.348575579923372E-02,
2460433.500000000, A.D. 2024-May-03 00:00:00.0000,  1.227432092364962E+00, -6.329900454099971E-01, -4.337285775962331E-02,
2460434.500000000, A.D. 2024-May-04 00:00:00.0000,  1.234309005816286E+00, -6.193221141451262E-01, -4.325509415817697E-02,
2460435.500000000, A.D. 2024-May-05 00:00:00.0000,  1.241047434578345E+00, -6.055846972963150E-01, -4.313247745267934E-02,
2460436.500000000, A.D. 2024-May-06 00:00:00.0000,  1.247646605408810E+00, -5.917793276751303E-01, -4.300502080159359E-02,
2460437.500000000, A.D. 2024-May-07 00:00:00.0000,  1.254105764895029E+00, -5.779075481821982E-01, -4.287273806132998E-02,
2460438.500000000, A.D. 2024-May-08 00:00:00.0000,  1.260424179615772E+00, -5.639709114908432E-01, -4.273564378340525E-02,
2460439.500000000, A.D. 2024-May-09 00:00:00.0000,  1.266601136297389E+00, -5.499709797280492E-01, -4.259375321172563E-02,
2460440.500000000, A.D. 2024-May-10 00:00:00.0000,  1.272635941963353E+00, -5.359093241538230E-01, -4.244708227965367E-02,
2460441.500000000, A.D. 2024-May-11 00:00:00.0000,  1.278527924076603E+00, -5.217875248380992E-01, -4.229564760655442E-02,
2460442.500000000, A.D. 2024-May-12 00:00:00.0000,  1.284276430675323E+00, -5.076071703337366E-01, -4.213946649404110E-02,
